protectedDiv(protectedDiv(add(b, c), sub(a, b)), protectedDiv(add(c, c), add(c, c)))	protectedDiv(sub(add(a, c), protectedDiv(c, b)), add(add(c, a), add(c, a)))	sub(c, c)	sub(protectedDiv(b, b), protectedDiv(b, b))	protectedDiv(a, b)	protectedDiv(sub(protectedDiv(b, a), protectedDiv(a, c)), add(sub(b, c), add(c, c)))	protectedDiv(sub(c, b), add(a, c))	protectedDiv(b, b)	add(protectedDiv(b, c), protectedDiv(b, a))	sub(protectedDiv(a, b), protectedDiv(a, c))	add(sub(a, b), sub(a, a))	add(add(a, c), sub(b, c))	sub(sub(add(c, c), add(b, b)), sub(protectedDiv(c, b), protectedDiv(b, b)))	add(sub(c, c), protectedDiv(c, b))	sub(b, a)	protectedDiv(b, b)	add(sub(add(c, a), sub(a, a)), protectedDiv(sub(b, b), protectedDiv(c, a)))	protectedDiv(protectedDiv(add(a, a), sub(c, b)), add(add(c, b), protectedDiv(a, b)))	sub(c, c)	add(c, a)
c	a	add(c, a)	b	a	protectedDiv(b, c)	add(protectedDiv(c, a), sub(c, a))	a	a	a	sub(add(a, a), sub(b, b))	add(protectedDiv(c, b), add(c, b))	add(b, b)	a	a	a	b	add(b, b)	a	a
a	a	a	add(c, a)	a	a	a	a	a	a	protectedDiv(b, c)	b	a	protectedDiv(a, c)	c	add(add(b, a), add(c, a))	a	add(sub(a, b), protectedDiv(a, a))	c	a
a	protectedDiv(a, c)	sub(b, b)	a	a	a	a	a	a	sub(a, a)	b	a	a	a	add(c, a)	sub(add(c, c), sub(b, c))	a	a	a	a
b	a	protectedDiv(protectedDiv(b, c), protectedDiv(c, b))	a	a	a	sub(protectedDiv(c, c), add(a, a))	a	a	a	a	a	a	a	protectedDiv(a, c)	a	a	a	a	a
a	a	a	a	a	protectedDiv(a, c)	a	protectedDiv(a, c)	protectedDiv(a, c)	a	a	a	a	a	a	a	a	a	a	a
protectedDiv(a, c)	protectedDiv(a, c)	protectedDiv(c, a)	a	a	a	a	a	add(add(b, a), sub(b, a))	a	a	a	a	a	a	a	a	a	a	a
add(sub(b, a), add(b, a))	a	a	sub(add(a, a), sub(b, a))	a	c	a	a	a	a	b	a	a	b	a	a	a	a	a	a
a	a	sub(protectedDiv(b, a), add(b, a))	a	add(a, b)	a	a	sub(a, a)	a	a	a	a	a	add(protectedDiv(c, c), sub(a, b))	add(sub(c, a), add(c, b))	a	a	a	c	a
a	a	add(c, b)	a	a	a	a	a	a	b	a	sub(add(b, b), protectedDiv(b, c))	a	a	a	a	protectedDiv(a, b)	a	sub(add(b, c), sub(c, b))	a
a	a	protectedDiv(protectedDiv(c, c), add(a, a))	b	c	a	a	a	a	a	protectedDiv(b, b)	a	a	a	a	a	protectedDiv(a, b)	a	b	a
a	a	a	a	a	a	a	protectedDiv(protectedDiv(a, b), sub(a, a))	protectedDiv(b, b)	protectedDiv(add(c, b), add(c, b))	sub(b, c)	a	a	a	protectedDiv(protectedDiv(c, b), add(c, b))	sub(protectedDiv(a, b), sub(b, a))	a	a	a	b
protectedDiv(protectedDiv(a, b), sub(a, a))	a	b	a	a	a	sub(protectedDiv(c, b), protectedDiv(b, c))	add(a, a)	a	a	a	a	a	a	a	a	a	sub(protectedDiv(a, b), protectedDiv(b, b))	a	a
protectedDiv(protectedDiv(b, a), add(c, a))	a	a	a	a	a	a	a	a	a	a	protectedDiv(b, c)	a	protectedDiv(protectedDiv(b, c), sub(c, a))	a	sub(b, b)	add(add(a, b), add(a, c))	a	protectedDiv(protectedDiv(a, b), sub(a, a))	a
protectedDiv(protectedDiv(a, a), add(c, a))	a	a	a	a	a	a	a	a	b	a	a	a	a	a	protectedDiv(a, a)	a	a	a	protectedDiv(b, b)
a	a	protectedDiv(protectedDiv(a, c), protectedDiv(a, b))	protectedDiv(protectedDiv(b, a), protectedDiv(b, c))	a	a	a	b	a	a	a	a	a	a	a	a	a	a	sub(b, a)	a
a	a	a	c	add(protectedDiv(c, a), add(c, a))	add(a, a)	a	a	a	a	a	a	a	c	a	a	a	a	sub(b, a)	a
a	a	a	a	a	protectedDiv(c, c)	a	add(add(a, b), add(c, a))	a	a	a	sub(c, c)	a	c	a	a	sub(b, a)	c	protectedDiv(add(a, c), sub(a, b))	b
a	sub(add(a, a), sub(c, a))	a	a	a	a	a	a	a	sub(c, a)	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	sub(sub(b, a), add(b, a))	protectedDiv(b, a)	a	a	add(sub(c, c), sub(a, b))	a	a	a	a	a	a	a	protectedDiv(b, b)	a	add(add(a, b), add(c, c))
a	a	a	a	a	a	a	a	a	a	a	a	add(a, c)	sub(b, c)	c	a	a	a	a	protectedDiv(sub(b, c), add(b, a))
a	c	protectedDiv(sub(b, c), add(b, b))	a	a	a	a	a	add(sub(a, a), add(b, b))	a	a	a	a	a	sub(b, b)	a	a	a	a	sub(a, c)
add(c, c)	a	sub(a, a)	add(c, b)	c	a	protectedDiv(b, b)	c	a	a	a	a	a	sub(sub(a, a), add(b, b))	a	c	a	a	a	a
a	protectedDiv(b, b)	a	add(add(a, a), sub(b, b))	a	a	c	a	a	a	a	a	a	a	a	a	a	c	a	b
a	a	a	a	add(sub(c, c), sub(b, a))	a	a	a	a	a	protectedDiv(sub(c, a), protectedDiv(b, b))	a	a	a	a	add(sub(a, c), sub(a, c))	a	a	a	sub(protectedDiv(b, c), sub(b, b))
c	a	a	a	a	a	add(c, b)	a	a	c	protectedDiv(add(c, a), protectedDiv(a, c))	a	a	sub(c, a)	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	protectedDiv(add(sub(b, c), a), protectedDiv(a, c))	a	a	a	a	b	a	a	a	a	a
a	a	a	a	add(protectedDiv(b, c), sub(c, b))	sub(a, b)	a	a	a	a	a	a	a	a	a	a	a	a	a	a
a	add(add(b, a), protectedDiv(a, b))	a	a	a	a	a	a	a	a	a	a	a	c	a	a	a	a	a	a
a	add(sub(b, b), protectedDiv(b, c))	a	add(b, a)	a	a	a	a	protectedDiv(a, c)	a	a	protectedDiv(a, a)	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(c, b)	a	a	a	a	sub(a, a)	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	sub(add(c, b), sub(c, a))	add(add(b, b), protectedDiv(a, c))	a	add(protectedDiv(c, c), protectedDiv(a, c))	a	protectedDiv(b, a)
a	a	a	a	a	a	c	a	a	add(sub(b, a), add(a, c))	a	a	sub(add(a, a), protectedDiv(b, a))	a	c	a	a	a	a	a
a	add(protectedDiv(b, b), add(c, b))	a	add(a, c)	a	a	a	a	a	c	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
add(sub(a, c), sub(a, c))	protectedDiv(protectedDiv(c, a), sub(b, c))	a	a	a	a	a	a	a	a	a	sub(add(a, c), sub(a, c))	a	sub(b, b)	add(c, b)	a	c	a	a	a
a	a	a	a	a	a	a	a	protectedDiv(c, c)	c	a	a	add(b, b)	a	a	a	a	add(add(a, c), protectedDiv(b, c))	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(a, a)	a	a
a	a	a	a	a	a	a	a	a	a	add(a, c)	a	a	a	a	c	a	a	sub(c, b)	a
a	a	c	a	a	a	a	sub(c, b)	a	a	c	b	a	a	a	protectedDiv(add(a, b), protectedDiv(a, c))	a	a	a	a
protectedDiv(c, a)	a	a	sub(protectedDiv(c, c), protectedDiv(c, a))	a	a	a	a	b	a	a	protectedDiv(protectedDiv(a, c), add(a, b))	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	protectedDiv(add(c, b), add(c, c))	a	b	a	a	a	a	a	sub(a, a)	a	a
a	a	a	add(sub(a, b), protectedDiv(b, b))	a	sub(sub(a, a), sub(b, b))	add(sub(b, a), sub(b, b))	a	a	a	sub(add(b, a), sub(c, c))	a	a	a	a	a	a	a	a	a
protectedDiv(protectedDiv(a, c), protectedDiv(a, b))	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	b	a
a	a	a	a	add(a, c)	c	a	a	a	a	a	a	a	a	a	a	a	sub(c, b)	a	a
a	a	sub(protectedDiv(b, b), sub(c, a))	a	a	a	a	a	a	a	add(add(a, c), add(a, b))	a	a	a	a	a	add(b, b)	c	protectedDiv(c, a)	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(c, a)	a	a	a
a	a	add(add(b, a), sub(b, a))	a	a	a	a	a	a	a	a	a	protectedDiv(a, c)	a	protectedDiv(sub(b, c), add(b, b))	a	a	sub(add(c, c), add(c, b))	a	a
a	a	a	add(add(c, b), sub(b, b))	a	b	a	a	protectedDiv(a, b)	sub(sub(c, b), protectedDiv(b, c))	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	protectedDiv(b, b)	a	protectedDiv(b, a)	a	a	a	a	b	a	a	a
